Title,Latitude,Longitude,PowerKW,charging_station_type,anno
"Via Giovanni Pascoli, 53",45.47665946758781,9.224673771475494,22,slow,2024
FLYELECTRIC Corti,45.480455086764636,9.231042197452098,50,fast,2024
Tunisia40,45.47934001528461,9.201452139640843,22,slow,2024
Powy Tigros,3.1586445686571096e-05,0.000391484,50,fast,2024
Ramada Plaza Milano,45.501631144135956,9.228273324318593,22,slow,2024
Piazza Missori - MPNEXT,45.46080401109407,9.188602758378465,22,slow,2024
A2A Lentasio ,45.458448,9.191707,50,fast,2024
Be Charge Sammartini,45.49595,9.21245,150,ultrafast,2024
A2A  Niguarda,45.51491,9.194317,50,fast,2024
A2A  Calvairate,45.449406,9.220901,50,fast,2024
A2A  Stadera,45.437307,9.183843,50,fast,2024
A2A Traiano ,45.484321,9.152872,50,fast,2024
Be Charge Testi,45.522921,9.210419,50,fast,2024
Ewiva Coop Arona,45.482819,9.160105,50,fast,2024
Be Charge Via Santa Maria Fulcorina,45.463643,9.183694,150,ultrafast,2024
Be Charge Famagosta ,45.437001,9.157929,150,ultrafast,2024
Be Charge Eni,45.49483,9.138969,150,ultrafast,2024
Be Charge MediaWorld,45.479725,9.245776,150,ultrafast,2024
Be Charge Eni,45.463249,9.133554,150,ultrafast,2024
Be Charge Eni,45.497928,9.191656,50,fast,2024
Ewiva Coop Gozzoli,45.451389,9.095357,150,ultrafast,2024
Be Charge Eni Abbadesse,45.488016,9.196709,150,ultrafast,2024
Be Charge Eni,45.521004,9.227449,50,fast,2024
Be Charge Eni,45.507397,9.223397,50,fast,2024
GreenFlux Volvo Recharge Portanuova Varesine,45.481945,9.195023,150,ultrafast,2024
Enel X Stazione Centrale,45.486521,9.206963,50,fast,2024
Enel X  Quarto Oggiaro,45.507901,9.139033,50,fast,2024
Be Charge ,45.460958,9.220242,50,fast,2024
IrenGo Crédit Agricole,45.464334,9.186008,50,fast,2024
Be Charge Scuola Primaria Porta Agnesi,45.454223,9.19489,50,fast,2024
Be Charge  Porta Garibaldi,45.480811,9.18938,50,fast,2024
Car-Wash Futura Autolavaggio | E-Station,45.403512850471884,9.167836736675667,22,slow,2024
Be Charge Ospedale Niguarda Zona Ca' Granda,45.509494,9.190209,22,slow,2024
BeCharge Milano Lorenteggio,45.448431,9.124145,22,slow,2024
BECHARGE MILANO Siena c/o Carrefour Market,45.46535032812116,9.138186904451914,50,fast,2024
Sheraton Milano San Siro,45.478185,9.103063,22,slow,2024
BECHARGE MILANO Stendhal,45.45203574122553,9.160262713783368,50,fast,2024
LIDL Milano  Forze Armate,45.45975914,9.100764271506137,22,slow,2024
Becharge Milano Palestrina,45.479872326949476,9.223126215532375,22,slow,2024
BECHARGE Milano Salvioni,45.485726937509355,9.160702447008362,22,slow,2024
Centro Porsche Milano Nord,45.510295723218064,9.124594435844756,150,ultrafast,2024
LIDL Milano Sarca ,45.527717,9.215318,22,slow,2024
BECHARGE MILANO Pirelli,45.52090421625826,9.214258993807789,22,slow,2024
NHP MILANO ROGOREDO,45.43368334192505,9.237619313589107,50,fast,2024
U2 Supermercato Opera | EnelX,45.36802899,9.209244507,22,slow,2024
NHP Milano Cantore,45.455730322922676,9.1727994,50,fast,2024
Ekomobil - 22 kW,45.50398827,9.164094833800164,22,slow,2024
LIDL Buccinasco,45.42298912764534,9.118493005938944,22,slow,2024
NHP MILANO Bocconi,45.447710001324424,9.19073038,50,fast,2024
